,link,title,rating,price,category
108,https://m.media-amazon.com/images/I/41gvJdDzkTL._AC_UL320_.jpg,Skin treatment Day & Night Beauty Cream (GDNC1)Oil Free total fairness system 5 Days Recover - Pack of 1,New to Amazon,295,beauty
112,https://m.media-amazon.com/images/I/61YON1BGcCL._AC_UL320_.jpg,"Raw Beauty Wellness Dewy Lips Anti Ageing Lip Oil, 8ml",New to Amazon,441,beauty
129,https://m.media-amazon.com/images/I/21heOmxhf5L._AC_UL320_.jpg,Beauty Hub Fresh & White Cream for Pimples & Acne (30 g),New to Amazon,269,beauty
143,https://m.media-amazon.com/images/I/51o-8LviwvL._AC_UL320_.jpg,"PRAUSH (Formerly Plume) Bundle Of 2 Super Soft Celestial Sponges, Pink",New to Amazon,845.,beauty
147,https://m.media-amazon.com/images/I/61ZWHtunQ9L._AC_UL320_.jpg,Bronson Professioanl Black tear drop beauty blender sponge,New to Amazon,100,beauty
163,https://m.media-amazon.com/images/I/51It1cDROcL._AC_UL320_.jpg,BiE (BEAUTY IN EVERYTHING) Plumped! Plumping Serum (20 Gram),New to Amazon,"1,099",beauty
171,https://m.media-amazon.com/images/I/61gZB+1c2nL._AC_UL320_.jpg,Beauty Garage Keratin Sulphate Free Moisturizing Smooth Daily Shampoo 1000ml,New to Amazon,"2,175",beauty
198,https://m.media-amazon.com/images/I/51It1cDROcL._AC_UL320_.jpg,BiE (BEAUTY IN EVERYTHING) Plumped! Plumping Serum (20 Gram),New to Amazon,"1,099",beauty
199,https://m.media-amazon.com/images/I/41YCkUTTgDL._AC_UL320_.jpg,"Natural Face beauty Gold cream with Avocado and Aloe vera gel for Acne ,pimple, dark spot,dark circle ,freckle & wrinkle (men and women)- 30gms - Pack of 1",New to Amazon,299,beauty
201,https://m.media-amazon.com/images/I/51RZg1wCLCL._AC_UL320_.jpg,Golden Star Beauty Cream - 30gm,New to Amazon,399,beauty
203,https://m.media-amazon.com/images/I/51koWE3vIdL._AC_UL320_.jpg,SUGAR POP Dab & Blend Beauty Makeup Sponge | Latex Free | Unique Shape | Precise Edges | Reusable & washable | Soft & Bouncy | Foam Sponge | Multipurpose,New to Amazon,199,beauty
213,https://m.media-amazon.com/images/I/61ZWHtunQ9L._AC_UL320_.jpg,Bronson Professioanl Black tear drop beauty blender sponge,New to Amazon,100,beauty
220,https://m.media-amazon.com/images/I/51DFhsuhmPL._AC_UL320_.jpg,"Swiss Beauty Slay Nail Color | Quick Drying | Non Chip Formula | Glossy Finish Nail Paint | Shade- Top Coat, 13Ml",New to Amazon,116,beauty
228,https://m.media-amazon.com/images/I/41nb7t-kp5L._AC_UL320_.jpg,"yara beauty Dual-Ended Contour Stick, 2-in-1 Contour Stick with Contouring Shade and Highlighter, Easy-to-Blend Formula, for a Defined and Chiseled Look, Light/Medium",New to Amazon,85,beauty
239,https://m.media-amazon.com/images/I/61baNK71y2L._AC_UL320_.jpg,Kiss Beauty 3 in 1 blusher contour and highlighter combo palette| 4 color matte blusher| shimmer blusher| contour kit| highlighter palette| blusher and contour combo kit 02,New to Amazon,329,beauty
597,https://m.media-amazon.com/images/I/61RZDb2mQxL._AC_UL320_.jpg,"Samsung Galaxy S23 5G (Green, 8GB, 256GB Storage)",New to Amazon,"79,999",electronics
693,https://m.media-amazon.com/images/I/31ZkI75L1IL._AC_UL320_.jpg,"Boxn Mosquito Eco Friendly Electronic LED Mosquito Killer Machine UV Light Lamp | Trap Flying Bugs | Non-Toxic | Portable | USB Powered Electronic Killer Lamp I Electronic Eco Friendly(White,Black)",New to Amazon,399,electronics
821,https://m.media-amazon.com/images/I/41H0Ihv2LsL._AC_UL320_.jpg,Barcelona Football Jersey Messi 10 for Men and Kids,New to Amazon,335,clothing
